# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Measurement Data Fomat:
# Time [s]    Subject #    range [m]    bearing [rad] 
1248297567.247    27 	 1.192		 0.485  
1248297567.478    27 	 1.233		 0.416  
1248297567.710    27 	 1.264		 0.288  
1248297567.942    81 	 2.696		 0.458  
1248297568.174    81 	 2.781		 0.384  
1248297568.406    27 	 1.286		 0.078  
1248297568.406    14 	 3.761		 0.425  
1248297568.640    27 	 1.269		 0.012  
1248297568.640    18 	 4.401		 0.499  
1248297568.873    27 	 1.247		 -0.025  
1248297569.108    27 	 1.243		 -0.043  
1248297569.109    18 	 4.471		 0.455  
1248297569.576    63 	 3.368		 -0.200  
1248297569.576    18 	 4.441		 0.436  
1248297569.812    72 	 5.867		 0.096  
1248297570.046    27 	 1.180		 -0.041  
1248297570.281    45 	 6.404		 -0.280  
1248297570.281    18 	 4.401		 0.440  
1248297570.517    90 	 7.631		 0.076  
1248297570.517    18 	 4.401		 0.435  
1248297570.749    18 	 4.471		 0.389  
1248297570.984    72 	 5.747		 -0.037  
1248297570.984    18 	 4.579		 0.312  
1248297571.219    18 	 4.657		 0.197  
1248297571.219    61 	 2.248		 0.475  
1248297571.453    63 	 2.863		 -0.546  
1248297571.453    61 	 2.324		 0.404  
1248297571.687    14 	 3.811		 -0.037  
1248297571.687    61 	 2.388		 0.329  
1248297571.924    18 	 4.718		 -0.077  
1248297571.924    61 	 2.443		 0.207  
1248297572.204    14 	 3.665		 -0.217  
1248297572.204    61 	 2.450		 0.144  
1248297572.441    81 	 2.443		 -0.475  
1248297572.441    5 	 2.040		 0.518  
1248297572.680    5 	 2.076		 0.482  
1248297572.919    61 	 2.430		 -0.029  
1248297572.919    5 	 2.082		 0.444  
1248297573.158    61 	 2.388		 -0.100  
1248297573.158    5 	 2.114		 0.389  
1248297573.397    18 	 4.216		 -0.433  
1248297573.397    5 	 2.122		 0.360  
1248297573.637    61 	 2.369		 -0.186  
1248297573.637    5 	 2.168		 0.316  
1248297573.879    61 	 2.316		 -0.202  
1248297573.879    5 	 2.126		 0.321  
1248297574.120    61 	 2.302		 -0.208  
1248297574.120    5 	 2.116		 0.325  
1248297574.360    14 	 3.109		 -0.550  
1248297574.360    5 	 2.088		 0.330  
1248297574.598    7 	 3.916		 0.183  
1248297574.598    5 	 2.124		 0.300  
1248297574.836    5 	 2.113		 0.246  
1248297575.074    5 	 2.123		 0.207  
1248297575.313    5 	 2.123		 0.164  
1248297575.549    5 	 2.134		 0.104  
1248297575.785    5 	 2.146		 0.066  
1248297575.785    36 	 2.265		 0.517  
1248297576.022    5 	 2.113		 -0.004  
1248297576.022    36 	 2.325		 0.442  
1248297576.259    36 	 2.366		 0.399  
1248297576.496    36 	 2.392		 0.347  
1248297576.496    70 	 3.398		 0.509  
1248297576.732    70 	 3.515		 0.431  
1248297576.968    36 	 2.458		 0.218  
1248297576.968    70 	 3.580		 0.378  
1248297577.204    36 	 2.471		 0.147  
1248297577.204    70 	 3.637		 0.309  
1248297577.442    70 	 3.730		 0.216  
1248297577.680    70 	 3.739		 0.147  
1248297577.916    70 	 3.796		 0.076  
1248297578.153    70 	 3.761		 -0.047  
1248297578.389    70 	 3.715		 -0.128  
1248297578.625    70 	 3.640		 -0.246  
1248297578.858    70 	 3.567		 -0.326  
1248297579.092    70 	 3.424		 -0.405  
1248297579.326    70 	 3.211		 -0.534  
1248297579.560    54 	 2.645		 0.450  
1248297579.793    54 	 2.727		 0.378  
1248297580.025    54 	 2.808		 0.261  
1248297580.025    16 	 1.116		 0.365  
1248297580.256    16 	 1.134		 0.291  
1248297580.488    16 	 1.157		 0.238  
1248297580.719    16 	 1.149		 0.125  
1248297580.950    16 	 1.137		 0.083  
1248297581.184    16 	 1.135		 0.055  
1248297581.416    16 	 1.122		 -0.017  
1248297581.648    16 	 1.112		 -0.043  
1248297581.882    16 	 1.083		 -0.116  
1248297582.152    16 	 1.073		 -0.117  
1248297582.386    16 	 1.069		 -0.077  
